Sales Report,,,,
Month,"$2,021","$2,022","$2,023","$2,024"
January,"$1,253","$2,444","$32,535","$5,535"
February,"$1,253","$4,244","$5,335","$5,352"
March,"$2,653","$2,444","$5,235","$3,253"
April,"$3,445","$2,424","$5,552","$5,352"
May,"$3,443","$2,334","$3,535","$3,552"
June,"$3,342","$2,344","$3,535","$5,325"
July,"$2,434","$4,552","$5,353","$5,553"
August,"$4,242","$2,353","$5,355","$5,553"
September,"$4,242","$5,323","$3,535","$3,525"
October,"$3,255","$3,353","$3,253","$5,555"
November,"$4,424","$3,545","$3,245","$5,353"
December,"$2,424","$5,252","$3,535","$3,253"
Total,"$38,431","$42,634","$82,026","$59,185"
,,,,
,,,,
"$8,602",,,,
